activity_uuid_product_uuid,activity_name,product_geography,input_activity_uuid_product_uuid,exchange_name,input_geography,exchange_unit_name,exchange_amount
19d63985-f529-5fe6-8bf8-3dd7aace3920_e3449af4-a6f1-484b-88c9-eab58f41a250,2-pyridinol production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.333
6a1ce5eb-f9a1-55fb-9370-6d08d79b4fb9_f1df8dfc-212e-49a2-bfbc-287dc8eb5da3,"2,4-dichlorophenol production",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.333
073d51a6-8ab0-510c-b4dc-4c8ac13e4ac1_04ec6467-1e9f-426c-b84a-687d6164b6c1,"2,4-dichlorotoluene production",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.333
e00ae9a2-e5cb-54fb-8b01-6e43883fecb9_36a34f57-eadf-441b-a354-a10fe3d5f2bc,"2,4-dinitrotoluene production",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.39906
64c0a50a-5243-501f-994f-5dc1154c3499_ef84c866-e125-4835-8747-ed684e87d36e,3-methyl-1-butyl acetate production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.0786772
3642646b-75d1-5099-a825-8798cdf53da7_f624efa9-1c07-54f3-b9fd-5e30dd0e3d04,3-methylpyridine production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.416
e18397bd-b7e7-5de2-be4e-2c9e6b64b2bf_d1a3ebf3-e2d5-4da1-8090-664c9160aa33,4-methyl-2-pentanone production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.760956
7d7ee4bc-7dc1-5d20-a311-c34e0908c475_abba9c52-1cf4-40a9-a2bf-2681b3e84b1c,4-tert-butylbenzaldehyde production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.71815
641ec3fd-d4da-56fd-a960-65f6fbc2cb81_2f5bfd17-304f-4568-b051-155ed2d2f3b0,4-tert-butyltoluene production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.333
2caa4b2c-452b-539b-ad3a-3b920f88c016_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",RoW,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,420
2caa4b2c-452b-539b-ad3a-3b920f88c016_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",RoW,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,480
2caa4b2c-452b-539b-ad3a-3b920f88c016_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",RoW,372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6,reinforcing steel,GLO,kg,3220
2caa4b2c-452b-539b-ad3a-3b920f88c016_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",RoW,531db396-1434-54e5-b6c4-c2b4323471cb_751b5ee2-aa63-456c-8d7d-1af517fb7032,"stone wool, packed",GLO,kg,70
2caa4b2c-452b-539b-ad3a-3b920f88c016_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",RoW,c93a2afc-7e58-50b6-af0e-586f71a3de0e_bfd577e2-82b4-4166-af2b-3bda540931f6,waste mineral wool,Europe without Switzerland,kg,-20.35718574
90b79f14-6369-5671-a7e0-592fc8dfed29_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",CH,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,420
90b79f14-6369-5671-a7e0-592fc8dfed29_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",CH,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,480
90b79f14-6369-5671-a7e0-592fc8dfed29_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",CH,372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6,reinforcing steel,GLO,kg,3220
90b79f14-6369-5671-a7e0-592fc8dfed29_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",CH,531db396-1434-54e5-b6c4-c2b4323471cb_751b5ee2-aa63-456c-8d7d-1af517fb7032,"stone wool, packed",GLO,kg,70
90b79f14-6369-5671-a7e0-592fc8dfed29_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",CH,3a29c9e0-4183-588d-95a9-502b55d2c513_bfd577e2-82b4-4166-af2b-3bda540931f6,waste mineral wool,CH,kg,-70
a2a682e0-45ce-5e3b-9092-9a0e46e45122_e36aa595-9fc6-4eff-8f34-a9b11f460762,acetaldehyde oxidation,RoW,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,1.41271e-4
a2a682e0-45ce-5e3b-9092-9a0e46e45122_50a418df-9ef8-4a99-8bea-4f9b4ea88acb,acetaldehyde oxidation,RoW,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,2.03796e-4
feb95e4f-1932-5bf8-8856-451944d79f71_e36aa595-9fc6-4eff-8f34-a9b11f460762,acetaldehyde oxidation,RER,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,1.41271e-4
feb95e4f-1932-5bf8-8856-451944d79f71_e36aa595-9fc6-4eff-8f34-a9b11f460762,acetaldehyde oxidation,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.635852079
feb95e4f-1932-5bf8-8856-451944d79f71_50a418df-9ef8-4a99-8bea-4f9b4ea88acb,acetaldehyde oxidation,RER,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,2.03796e-4
feb95e4f-1932-5bf8-8856-451944d79f71_50a418df-9ef8-4a99-8bea-4f9b4ea88acb,acetaldehyde oxidation,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.917273041
78666c4f-3539-5f57-bfcd-6906e3d2483c_86e7640d-9427-47f7-b801-03f9df666a18,acetaldehyde production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.1
a636ce1c-55cc-5973-87e9-17eec7945aaf_2487d46f-ca68-45fe-9baf-c8546908cef2,"acetamide-anillide-compound production, unspecified",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,2.28455744
ec38a11e-912d-56cd-8fcd-9c44694ac9ee_98c3d189-a2b3-4d52-b833-e896553847e9,acetanilide production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.333
86084dbc-f2fa-52a4-b6e0-ca45daa770d5_e36aa595-9fc6-4eff-8f34-a9b11f460762,"acetic acid production, product in 98% solution state",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.057
6b14fe53-243d-54de-9621-62148e76fa27_50a418df-9ef8-4a99-8bea-4f9b4ea88acb,"acetic anhydride production, ketene route",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.36524664
0ccbe87c-f045-552d-acc6-d2ce4e789c1c_dbbb2b50-295a-486a-af82-9da5b08df6b5,acetoacetic acid production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.77975
34cc67bc-123a-52a5-89d3-467131b096ea_3b363d31-87f8-483f-9676-ab3221789dca,acetone cyanohydrin production,RER,2330b528-6e31-5a99-9801-73834e2a835f_6f2eb438-cde2-4d07-a770-d023a988a9c4,"waste wood, untreated",RER,kg,-5.7953e-7
f9191752-28fb-5bce-8225-4bd70e3cfe74_15e08bcb-75e0-4f45-ab47-d6ddff721ebc,"acetone production, from isopropanol",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.416
9aa708f3-e46a-59e9-aaf9-035803500a47_b38b6557-fb95-4f02-820c-2902c294998e,acetyl chloride production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.333
2a07b744-ea77-58b8-ba2d-0519dcf3a89d_ac271101-169f-43d6-913e-624d1a1b6683,acetylene production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,2.78e-4
f0aca97a-c07c-5b73-a560-92d134932dbb_906ace6c-3089-4c95-9ebd-5a396ee84577,aclonifen production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,1.28587232
a879671c-613d-5e59-b352-bef44e5ed552_41860f12-8b2b-47d9-bffe-966505490bf6,acrolein production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.333
68cf4853-d326-59f9-9c93-e31ffd522c95_b9d163af-230d-4a54-a9e0-27f894dc8c2a,acrylic acid production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.416
5690539f-a2a7-5a3c-8cb4-bd768ee41f6c_79bd7e18-86c4-4aa4-aebe-34fdb546c3bd,"acrylic binder production, with water, in 54% solution state",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.1
81b1ed48-262b-553b-a4f6-19769ca70878_dce67266-c173-4a2c-ad18-3838209a083a,"acrylic dispersion production, with water, in 58% solution",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.3
79946caf-4cb4-5b2f-841f-51ed554b05a9_aad176cd-625d-4e08-917b-6434e207accd,acrylic filler production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.00183
df30769f-e8bc-519b-8df4-633fe9ddf755_4f41bd8f-2435-41c8-8a3f-3810f0210766,"acrylic varnish production, with water, in 53% solution state",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.3
277d6430-3ef8-5b49-a3bf-047142d2fae7_71e296f1-2f6d-481a-87ed-e0eac085054d,acrylonitrile-butadiene-styrene copolymer production,RER,2330b528-6e31-5a99-9801-73834e2a835f_6f2eb438-cde2-4d07-a770-d023a988a9c4,"waste wood, untreated",RER,kg,-1.4252e-5
9ee2754c-a7d8-5d77-8ce9-e151719c1030_db314df7-a55f-4c57-b1b7-1bec53c2740c,activated bentonite production,RoW,79d6450d-f9ad-5619-89c3-05c8d7622af3_b0f4c2fb-5081-474a-8ffa-1457da8345db,"diesel, burned in building machine",GLO,MJ,0.00934
f7c53bc7-9168-5f18-983c-1cd171854ae0_db314df7-a55f-4c57-b1b7-1bec53c2740c,activated bentonite production,DE,79d6450d-f9ad-5619-89c3-05c8d7622af3_b0f4c2fb-5081-474a-8ffa-1457da8345db,"diesel, burned in building machine",GLO,MJ,0.00934
e8a7a75d-5260-5168-ae3e-01277aaf9d41_99ba8208-7a4c-46e7-b4f0-6d93a8332c0b,"activated carbon production, granular from hard coal",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,1.841618497
94f375f1-da9a-5fb2-aecb-9d694436bcb6_a4206b90-e47d-42e9-b695-678b68ea38c7,adipic acid production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.120039043
94f375f1-da9a-5fb2-aecb-9d694436bcb6_c0c2439d-115d-5846-b0dc-7fc716f3862e,adipic acid production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.174501202
0ee02981-5811-532f-935b-728acbc2c975_399beb12-32d3-5f17-8f06-24f9132df400,adiponitrile production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.39906
64857030-d578-561d-a34c-f8518562f4a3_84aefb4d-62e4-4a80-9f1d-6c2058eb4c52,"agricultural machinery production, tillage",CH,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,0.073
723fedd4-f884-5bc3-8b15-4d9cc4b51f54_84aefb4d-62e4-4a80-9f1d-6c2058eb4c52,"agricultural machinery production, tillage",RoW,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,0.073
7cd85247-4d1f-5e69-95e2-c8cbbd8cd32b_663a4580-9fa2-4ec3-8174-5a18ed250015,"agricultural machinery production, unspecified",RoW,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,0.08
d52a13e5-4fa5-596c-ac30-cf8a4c65c2a8_663a4580-9fa2-4ec3-8174-5a18ed250015,"agricultural machinery production, unspecified",CH,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,0.08
2f08a631-a496-5cc9-bc0d-e603e670d04c_32af2447-4a20-428b-8ca3-6e311de7cd26,agricultural trailer production,RoW,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,0.21
2f08a631-a496-5cc9-bc0d-e603e670d04c_32af2447-4a20-428b-8ca3-6e311de7cd26,agricultural trailer production,RoW,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,0.033
498d2cd6-33e5-5a3b-9362-aaf69d271de9_32af2447-4a20-428b-8ca3-6e311de7cd26,agricultural trailer production,CH,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,0.21
498d2cd6-33e5-5a3b-9362-aaf69d271de9_32af2447-4a20-428b-8ca3-6e311de7cd26,agricultural trailer production,CH,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,0.033
7b3fc24a-aae6-54a5-8f42-a6577daa8a73_6874a6ba-4ed7-47c7-86d7-93ea0d49143c,"air compressor production, screw-type compressor, 300kW",RoW,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,149.6
7b3fc24a-aae6-54a5-8f42-a6577daa8a73_6874a6ba-4ed7-47c7-86d7-93ea0d49143c,"air compressor production, screw-type compressor, 300kW",RoW,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,300
7b3fc24a-aae6-54a5-8f42-a6577daa8a73_6874a6ba-4ed7-47c7-86d7-93ea0d49143c,"air compressor production, screw-type compressor, 300kW",RoW,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,2100
f6279346-ed61-5480-928e-6118345d0f96_6874a6ba-4ed7-47c7-86d7-93ea0d49143c,"air compressor production, screw-type compressor, 300kW",RER,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,149.6
f6279346-ed61-5480-928e-6118345d0f96_6874a6ba-4ed7-47c7-86d7-93ea0d49143c,"air compressor production, screw-type compressor, 300kW",RER,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,300
f6279346-ed61-5480-928e-6118345d0f96_6874a6ba-4ed7-47c7-86d7-93ea0d49143c,"air compressor production, screw-type compressor, 300kW",RER,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,2100
68ba3147-f083-5d2a-8457-3b6d99e57129_57a23d61-cc04-4414-ba30-4a15b785399a,"air compressor production, screw-type compressor, 4kW",RER,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,13.6
68ba3147-f083-5d2a-8457-3b6d99e57129_57a23d61-cc04-4414-ba30-4a15b785399a,"air compressor production, screw-type compressor, 4kW",RER,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,20
68ba3147-f083-5d2a-8457-3b6d99e57129_57a23d61-cc04-4414-ba30-4a15b785399a,"air compressor production, screw-type compressor, 4kW",RER,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,40
c536583d-dbeb-5cf2-9ba7-b9ea628fd640_57a23d61-cc04-4414-ba30-4a15b785399a,"air compressor production, screw-type compressor, 4kW",RoW,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,13.6
c536583d-dbeb-5cf2-9ba7-b9ea628fd640_57a23d61-cc04-4414-ba30-4a15b785399a,"air compressor production, screw-type compressor, 4kW",RoW,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",GLO,kg,20
c536583d-dbeb-5cf2-9ba7-b9ea628fd640_57a23d61-cc04-4414-ba30-4a15b785399a,"air compressor production, screw-type compressor, 4kW",RoW,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",GLO,kg,40
fd082e53-41c7-58e9-a47f-6abcb2ff0681_9aa99528-f035-4245-abd7-eace6101abf8,"air filter production, central unit, 600 m3/h",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.203
038b8528-8875-51e3-8235-f5b7e14fdfb2_d0e5f559-5f1f-4228-b277-0848a1d49721,"air filter production, decentralized unit, 180-250 m3/h",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.0242
bcdcd9f2-a3d9-58a3-b204-c6fa665a8e49_1d8da2ef-019e-4fc8-9e15-11bd37949f61,"air filter production, decentralized unit, 250 m3/h",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.0055
4da13f34-eca4-5dd9-94e6-547b4657d4f7_2bdd98d4-0ef8-4c4c-a1b2-f5de5e4786af,"air filter production, in exhaust air valve",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.0044
4400d108-293f-50e4-9830-a86c654f2c8c_847db7e2-b84f-40ed-89ba-cede5b6c30c6,"air input/output unit production, heat and power co-generation unit, 160kW electrical",RER,b15ab842-2312-5bb6-8236-2938afe4d3c6_d69294d7-8d64-4915-a896-9996a014c410,"electricity, low voltage",RER,kWh,2830
4400d108-293f-50e4-9830-a86c654f2c8c_847db7e2-b84f-40ed-89ba-cede5b6c30c6,"air input/output unit production, heat and power co-generation unit, 160kW electrical",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,33.3
4400d108-293f-50e4-9830-a86c654f2c8c_847db7e2-b84f-40ed-89ba-cede5b6c30c6,"air input/output unit production, heat and power co-generation unit, 160kW electrical",RER,372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6,reinforcing steel,GLO,kg,288
c56d9e00-34cb-584d-af19-4ff61b0ffd51_847db7e2-b84f-40ed-89ba-cede5b6c30c6,"air input/output unit production, heat and power co-generation unit, 160kW electrical",RoW,372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6,reinforcing steel,GLO,kg,288
01dec5fc-b0a2-5bc1-b8ee-44598a22748a_4dd034b4-e9bb-4464-bddc-a4dedfcf7f61,air separation facility construction,RER,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,10000
8f2a6c6d-23ba-542c-a079-8140adddc77c_4dd034b4-e9bb-4464-bddc-a4dedfcf7f61,air separation facility construction,RoW,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,10000
042d9c61-d3a2-5e27-a83f-91f7daf85f97_0e2dea51-7ebb-4cf8-8343-2db3e334195d,"air separation, cryogenic",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,3.386049704
042d9c61-d3a2-5e27-a83f-91f7daf85f97_159edf36-233e-4e2c-aec0-b0ac0d49f528,"air separation, cryogenic",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.56281637
042d9c61-d3a2-5e27-a83f-91f7daf85f97_28c2473e-1e11-4078-9a76-de9550553adc,"air separation, cryogenic",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,1.418480281
76559434-2f4f-5905-bc8a-a55ac73f820d_4ec33358-7145-4997-b07c-90254af81601,"air separation, xenon krypton purification",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,221.115089
76559434-2f4f-5905-bc8a-a55ac73f820d_74b0096e-72bc-4b8c-a3c8-e7953ab5d87a,"air separation, xenon krypton purification",RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,1400.971384
