companies_id,grouped_by,risk_category,clustered,activity_uuid_product_uuid,tilt_sector,scenario,year,type,input_activity_uuid_product_uuid,input_tilt_sector,input_tilt_subsector
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,d12cb441-97f4-5146-8f5d-9c9d32abd0bf_eee95138-58c8-4172-9b1f-754ba074325d,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,d12cb441-97f4-5146-8f5d-9c9d32abd0bf_eee95138-58c8-4172-9b1f-754ba074325d,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,79d6450d-f9ad-5619-89c3-05c8d7622af3_b0f4c2fb-5081-474a-8ffa-1457da8345db,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,79d6450d-f9ad-5619-89c3-05c8d7622af3_b0f4c2fb-5081-474a-8ffa-1457da8345db,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,79d6450d-f9ad-5619-89c3-05c8d7622af3_b0f4c2fb-5081-474a-8ffa-1457da8345db,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,79d6450d-f9ad-5619-89c3-05c8d7622af3_b0f4c2fb-5081-474a-8ffa-1457da8345db,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,bbb598a6-5422-5878-ab05-42ebd0ac6911_579049d0-3db8-4496-a234-2f61ed28a72b,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,bbb598a6-5422-5878-ab05-42ebd0ac6911_579049d0-3db8-4496-a234-2f61ed28a72b,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,bbb598a6-5422-5878-ab05-42ebd0ac6911_579049d0-3db8-4496-a234-2f61ed28a72b,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,bbb598a6-5422-5878-ab05-42ebd0ac6911_579049d0-3db8-4496-a234-2f61ed28a72b,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,5d7c64ff-3646-56cb-8034-77ffaf4ae9df_a9e29d5c-c101-4560-afce-118c572871f3,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,5d7c64ff-3646-56cb-8034-77ffaf4ae9df_a9e29d5c-c101-4560-afce-118c572871f3,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,5d7c64ff-3646-56cb-8034-77ffaf4ae9df_a9e29d5c-c101-4560-afce-118c572871f3,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,5d7c64ff-3646-56cb-8034-77ffaf4ae9df_a9e29d5c-c101-4560-afce-118c572871f3,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,0aff95db-45b1-54e1-a3ae-f9021924438c_3ce1a817-4ae8-4edc-bf8b-cb1b5d853410,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,0aff95db-45b1-54e1-a3ae-f9021924438c_3ce1a817-4ae8-4edc-bf8b-cb1b5d853410,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,0aff95db-45b1-54e1-a3ae-f9021924438c_3ce1a817-4ae8-4edc-bf8b-cb1b5d853410,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,0aff95db-45b1-54e1-a3ae-f9021924438c_3ce1a817-4ae8-4edc-bf8b-cb1b5d853410,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,26d4e080-9904-5c82-bdaf-3811f41f8130_fd45a910-a95c-4742-90a5-473e86d16486,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,26d4e080-9904-5c82-bdaf-3811f41f8130_fd45a910-a95c-4742-90a5-473e86d16486,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,26d4e080-9904-5c82-bdaf-3811f41f8130_fd45a910-a95c-4742-90a5-473e86d16486,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,26d4e080-9904-5c82-bdaf-3811f41f8130_fd45a910-a95c-4742-90a5-473e86d16486,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,8fa9690a-86a4-5c8c-95fa-3b14dde7a63f_e69cca3a-6e2a-4638-b9e7-09927dcf1c95,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,8fa9690a-86a4-5c8c-95fa-3b14dde7a63f_e69cca3a-6e2a-4638-b9e7-09927dcf1c95,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,8fa9690a-86a4-5c8c-95fa-3b14dde7a63f_e69cca3a-6e2a-4638-b9e7-09927dcf1c95,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,8fa9690a-86a4-5c8c-95fa-3b14dde7a63f_e69cca3a-6e2a-4638-b9e7-09927dcf1c95,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,cfaf1edc-4716-5b74-b205-0af1e0ceb9cc_9d7bbcc8-687c-4675-ba32-134d3fcc2bcf,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,cfaf1edc-4716-5b74-b205-0af1e0ceb9cc_9d7bbcc8-687c-4675-ba32-134d3fcc2bcf,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,cfaf1edc-4716-5b74-b205-0af1e0ceb9cc_9d7bbcc8-687c-4675-ba32-134d3fcc2bcf,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,cfaf1edc-4716-5b74-b205-0af1e0ceb9cc_9d7bbcc8-687c-4675-ba32-134d3fcc2bcf,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,531db396-1434-54e5-b6c4-c2b4323471cb_751b5ee2-aa63-456c-8d7d-1af517fb7032,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,531db396-1434-54e5-b6c4-c2b4323471cb_751b5ee2-aa63-456c-8d7d-1af517fb7032,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,531db396-1434-54e5-b6c4-c2b4323471cb_751b5ee2-aa63-456c-8d7d-1af517fb7032,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,531db396-1434-54e5-b6c4-c2b4323471cb_751b5ee2-aa63-456c-8d7d-1af517fb7032,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,5fac83fe-8483-5429-85f3-7b0b2c7c11f2_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,5fac83fe-8483-5429-85f3-7b0b2c7c11f2_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,5fac83fe-8483-5429-85f3-7b0b2c7c11f2_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,5fac83fe-8483-5429-85f3-7b0b2c7c11f2_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,1bb973cd-c66a-5c0f-82fc-aa365e7ec969_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,1bb973cd-c66a-5c0f-82fc-aa365e7ec969_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,1bb973cd-c66a-5c0f-82fc-aa365e7ec969_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,1bb973cd-c66a-5c0f-82fc-aa365e7ec969_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,c942f4dc-d2b6-5f3e-9165-73a868582602_1c17413f-82b0-4ddb-beef-63854b1a8e1f,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,c942f4dc-d2b6-5f3e-9165-73a868582602_1c17413f-82b0-4ddb-beef-63854b1a8e1f,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,c942f4dc-d2b6-5f3e-9165-73a868582602_1c17413f-82b0-4ddb-beef-63854b1a8e1f,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,c942f4dc-d2b6-5f3e-9165-73a868582602_1c17413f-82b0-4ddb-beef-63854b1a8e1f,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,3e990593-830f-5069-bef2-f1bee9fe9c4e_1c17413f-82b0-4ddb-beef-63854b1a8e1f,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,3e990593-830f-5069-bef2-f1bee9fe9c4e_1c17413f-82b0-4ddb-beef-63854b1a8e1f,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,3e990593-830f-5069-bef2-f1bee9fe9c4e_1c17413f-82b0-4ddb-beef-63854b1a8e1f,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,3e990593-830f-5069-bef2-f1bee9fe9c4e_1c17413f-82b0-4ddb-beef-63854b1a8e1f,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,7d7eeb00-1001-5060-95c8-463935341fc8_3728ce01-009e-4b64-94d4-3c3e9fabf888,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,7d7eeb00-1001-5060-95c8-463935341fc8_3728ce01-009e-4b64-94d4-3c3e9fabf888,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,7d7eeb00-1001-5060-95c8-463935341fc8_3728ce01-009e-4b64-94d4-3c3e9fabf888,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,7d7eeb00-1001-5060-95c8-463935341fc8_3728ce01-009e-4b64-94d4-3c3e9fabf888,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,d5982027-3c7b-5628-a5d7-12967578b20b_3728ce01-009e-4b64-94d4-3c3e9fabf888,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,d5982027-3c7b-5628-a5d7-12967578b20b_3728ce01-009e-4b64-94d4-3c3e9fabf888,construction industry,construction buildings
